FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,goal_diff,home_shot_acc,away_shot_acc,corner_diff,foul_diff
0,3,5,13,2,6,2,3,12,12,2,2,0,0,A,-3,0.3333333333333333,0.42857142857142855,-1,0
1,0,5,9,3,5,7,3,14,11,2,1,0,0,H,1,0.5,0.5,4,3
4,3,22,6,6,3,9,0,9,6,1,0,0,0,H,1,0.2608695652173913,0.42857142857142855,9,3
0,2,15,15,3,2,8,7,13,7,2,2,0,0,A,-2,0.1875,0.125,1,6
0,3,7,13,1,7,2,5,12,9,1,1,0,0,A,-3,0.125,0.5,-3,3
0,1,9,15,5,4,5,3,15,7,1,0,0,0,A,-1,0.5,0.25,2,8
1,3,13,10,3,5,4,3,8,13,1,0,0,0,A,-2,0.21428571428571427,0.45454545454545453,1,-5
0,2,9,11,2,4,12,5,13,7,2,1,0,0,A,-2,0.2,0.3333333333333333,7,6
5,2,17,6,7,4,11,1,9,11,1,0,0,1,H,3,0.3888888888888889,0.5714285714285714,10,-2
4,3,10,14,7,6,5,3,13,18,1,2,0,0,H,1,0.6363636363636364,0.4,2,-5
1,3,13,14,4,5,9,3,13,10,2,1,0,0,A,-2,0.2857142857142857,0.3333333333333333,6,3
2,1,7,14,3,3,7,5,11,13,0,1,0,0,H,1,0.375,0.2,2,-2
2,5,14,9,7,6,3,2,16,18,4,3,0,0,A,-3,0.4666666666666667,0.6,1,-2
0,3,6,13,0,6,7,1,16,15,3,0,0,1,A,-3,0.0,0.42857142857142855,6,1
0,2,5,18,3,6,1,11,10,6,0,0,1,0,A,-2,0.5,0.3157894736842105,-10,4
4,2,14,16,6,5,15,4,11,13,1,2,0,0,H,2,0.4,0.29411764705882354,11,-2
1,0,18,4,2,1,10,4,12,13,3,1,0,1,H,1,0.10526315789473684,0.2,6,-1
1,3,10,14,1,9,4,6,6,8,0,3,0,0,A,-2,0.09090909090909091,0.6,-2,-2
2,3,18,7,5,3,7,1,18,16,4,2,0,0,A,-1,0.2631578947368421,0.375,6,2
1,2,8,10,1,5,7,6,16,15,3,1,0,0,A,-1,0.1111111111111111,0.45454545454545453,1,1
3,3,9,22,3,10,3,9,8,16,1,3,0,0,D,0,0.3,0.43478260869565216,-6,-8
0,1,10,5,2,1,8,2,8,10,1,0,0,0,A,-1,0.18181818181818182,0.16666666666666666,6,-2
0,1,14,17,4,9,5,7,18,4,2,1,0,0,A,-1,0.26666666666666666,0.5,-2,14
1,1,23,6,12,1,10,4,15,9,1,4,0,0,D,0,0.5,0.14285714285714285,6,6
2,5,16,7,5,7,3,4,13,8,1,3,0,0,A,-3,0.29411764705882354,0.875,-1,5
4,0,15,11,7,2,1,3,7,11,0,1,0,0,H,4,0.4375,0.16666666666666666,-2,-4
0,3,16,12,3,5,5,3,18,14,6,3,0,0,A,-3,0.17647058823529413,0.38461538461538464,2,4
3,1,21,4,8,3,7,3,11,7,2,2,0,0,H,2,0.36363636363636365,0.6,4,4
4,0,17,4,6,0,8,5,17,13,2,0,0,0,H,4,0.3333333333333333,0.0,3,4
4,2,11,11,6,3,3,10,13,14,0,1,0,0,H,2,0.5,0.25,-7,-1
1,1,12,23,7,2,7,10,11,12,2,1,0,0,D,0,0.5384615384615384,0.08333333333333333,-3,-1
3,1,10,7,5,3,3,4,13,17,2,3,0,0,H,2,0.45454545454545453,0.375,-1,-4
0,3,4,14,0,6,6,4,11,8,2,2,0,0,A,-3,0.0,0.4,2,3
2,0,13,5,7,2,5,1,19,10,2,1,0,0,H,2,0.5,0.3333333333333333,4,9
